name,description,price,stock,sku,category,collection,material,brand,gender,sizes,colors
Classic Cotton T-Shirt,Soft breathable cotton t-shirt for daily wear,24.99,120,MEN-TOP-001,Topwear,Summer Essentials,Cotton,Urban Threads,Men,"S,M,L,XL","Black,White,Navy"
Denim Casual Shirt,Stylish slim-fit denim shirt,39.99,80,MEN-TOP-002,Topwear,Street Collection,Denim,Street Style,Men,"M,L,XL","Blue,Dark Blue"
Fleece Winter Hoodie,Warm fleece hoodie for cold weather,49.99,60,MEN-TOP-003,Topwear,Winter Drop,Fleece,Modern Fit,Men,"S,M,L,XL","Grey,Black"
Slim Fit Denim Jeans,Comfort stretch slim-fit jeans,54.99,90,MEN-BOT-001,Bottomwear,Urban Denim,Denim,Urban Threads,Men,"30,32,34,36","Blue,Black"
Cotton Jogger Pants,Relaxed fit joggers for casual wear,34.99,100,MEN-BOT-002,Bottomwear,Athleisure,Cotton,Modern Fit,Men,"S,M,L,XL","Black,Olive"
Linen Beach Shorts,Lightweight linen shorts for summer,29.99,75,MEN-BOT-003,Bottomwear,Beach Breeze,Linen,Beach Breeze,Men,"M,L,XL","Beige,White"
Silk Elegant Blouse,Premium silk blouse with elegant finish,44.99,70,WMN-TOP-001,Topwear,Luxury Line,Silk,Fashionista,Women,"S,M,L","Pink,Cream"
Viscose Crop Top,Comfortable trendy crop top,26.99,110,WMN-TOP-002,Topwear,Street Fashion,Viscose,ChicStyle,Women,"XS,S,M,L","Lavender,White"
Wool Winter Sweater,Cozy wool sweater for winter season,52.99,65,WMN-TOP-003,Topwear,Winter Collection,Wool,Fashionista,Women,"S,M,L","Brown,Maroon"
High Waist Denim Jeans,Stretchable high-waist denim jeans,58.99,95,WMN-BOT-001,Bottomwear,Urban Denim,Denim,ChicStyle,Women,"26,28,30,32","Blue,Black"
Linen Wide Leg Pants,Breathable linen pants with wide-leg fit,42.99,85,WMN-BOT-002,Bottomwear,Summer Breeze,Linen,Beach Breeze,Women,"S,M,L","White,Beige"
Polyester Sports Leggings,Flexible leggings for active lifestyle,31.99,130,WMN-BOT-003,Bottomwear,Active Wear,Polyester,Modern Fit,Women,"S,M,L,XL","Black,Grey"
Oversized Cotton Tee,Relaxed oversized t-shirt for all genders,27.99,140,UNI-TOP-001,Topwear,Street Vibes,Cotton,Street Style,Unisex,"S,M,L,XL","Black,White"
Unisex Denim Jacket,Classic denim jacket with modern fit,69.99,55,UNI-TOP-002,Topwear,Urban Denim,Denim,Urban Threads,Unisex,"M,L,XL","Blue,Black"
Fleece Zip Hoodie,Comfortable fleece zip hoodie,46.99,90,UNI-TOP-003,Topwear,Winter Essentials,Fleece,Modern Fit,Unisex,"S,M,L,XL","Grey,Navy"
Relaxed Fit Cargo Pants,Functional cargo pants with relaxed fit,48.99,78,UNI-BOT-001,Bottomwear,Street Utility,Cotton,Street Style,Unisex,"S,M,L,XL","Olive,Black"
Unisex Cotton Shorts,Casual cotton shorts for everyday comfort,25.99,115,UNI-BOT-002,Bottomwear,Summer Essentials,Cotton,Beach Breeze,Unisex,"S,M,L","Grey,White"
Polyester Track Pants,Sporty track pants with tapered fit,37.99,88,UNI-BOT-003,Bottomwear,Active Motion,Polyester,ChicStyle,Unisex,"M,L,XL","Black,Navy"
